id,name,country,subregion,address,latitude,longitude,gameTitle,source,officialLocatorUrl,detailsUrl,needsGeocode,googleMapsSearchUrl
intl-1005-19762,JUAN CPU,Korea,,"31, Michuhol-daero 734beon-gil,Michuhol-gu, Incheon",37.4630241,126.6821976,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=19762&lang=en,False,https://www.google.com/maps/search/?api=1&query=JUAN+CPU+31%2C+Michuhol-daero+734beon-gil%2CMichuhol-gu%2C+Incheon
intl-1005-20482,KONKUK FUN CITY,Korea,,"81, Dongil-ro 22-gil, Gwangjin-gu, Seoul",37.5414065,127.068776,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20482&lang=en,False,https://www.google.com/maps/search/?api=1&query=KONKUK+FUN+CITY+81%2C+Dongil-ro+22-gil%2C+Gwangjin-gu%2C+Seoul
intl-1005-20437,MASAN NEW WORLD GAME,Korea,,"6,Hapseongseo4-gil,Masanhoewon-gu,Changwon-si,Gyeongsangnam-do",35.2206349,128.5795296,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20437&lang=en,False,https://www.google.com/maps/search/?api=1&query=MASAN+NEW+WORLD+GAME+6%2CHapseongseo4-gil%2CMasanhoewon-gu%2CChangwon-si%2CGyeongsangnam-do
intl-1005-19890,NOLJA GAME,Korea,,"2F, 18, Jungang-daero 81-gil, Jung-gu, Daegu",35.8698745,128.5926402,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=19890&lang=en,False,https://www.google.com/maps/search/?api=1&query=NOLJA+GAME+2F%2C+18%2C+Jungang-daero+81-gil%2C+Jung-gu%2C+Daegu
intl-1005-20468,NORYANGJIN AMUSETOWN,Korea,,"26, Manyang-ro 14ga-gil, Dongjak-gu, Seoul",37.5127094,126.9449436,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20468&lang=en,False,https://www.google.com/maps/search/?api=1&query=NORYANGJIN+AMUSETOWN+26%2C+Manyang-ro+14ga-gil%2C+Dongjak-gu%2C+Seoul
intl-1005-18834,PAPER STUDIO,Korea,,"85, Bongujae-ro 33-gil, Jungnang-gu, Seoul, Republic of Korea",37.5959378,127.0895616,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=18834&lang=en,False,https://www.google.com/maps/search/?api=1&query=PAPER+STUDIO+85%2C+Bongujae-ro+33-gil%2C+Jungnang-gu%2C+Seoul%2C+Republic+of+Korea
intl-1005-20443,ROYAL GAME,Korea,,"454-1, Jungang-daero, Jung-gu, Daegu",35.8735075,128.5948787,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20443&lang=en,False,https://www.google.com/maps/search/?api=1&query=ROYAL+GAME+454-1%2C+Jungang-daero%2C+Jung-gu%2C+Daegu
intl-1005-20439,SAMBO R GAME,Korea,,"69, Seojeon-ro 10beon-gil, Busanjin-gu, Busan",35.1552641,129.0606925,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20439&lang=en,False,https://www.google.com/maps/search/?api=1&query=SAMBO+R+GAME+69%2C+Seojeon-ro+10beon-gil%2C+Busanjin-gu%2C+Busan
intl-1005-20478,SAMSEONGYO WOORI 2,Korea,,"14, Samseongyo-ro 10-gil, Seongbuk-gu, Seoul",37.5873226,127.0090045,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20478&lang=en,False,https://www.google.com/maps/search/?api=1&query=SAMSEONGYO+WOORI+2+14%2C+Samseongyo-ro+10-gil%2C+Seongbuk-gu%2C+Seoul
intl-1005-20476,SINCHEON PPYONGPPYONG GAME LAND,Korea,,"46, Baekjegobun-ro 7-gil, Songpa-gu, Seoul",37.510478,127.0838773,maimai DX International Version,maimai International official / ALL.Net,https://location.am-all.net/alm/location?gm=98&ct=1005&lang=en,https://location.am-all.net/alm/shop?gm=98&astep=1005&sid=20476&lang=en,False,https://www.google.com/maps/search/?api=1&query=SINCHEON+PPYONGPPYONG+GAME+LAND+46%2C+Baekjegobun-ro+7-gil%2C+Songpa-gu%2C+Seoul
